asset_id,relation,direction,neighbor_class,neighbor_name,neighbor_uid
ca9b4133-4aea-5dbe-ba8a-866ea99dc545,Aggregates,down,IfcDistributionPort,OutPort_447773,IfcDistributionPort-3P$60o$_H01PoIyZM2PEW5
03ebe639-17e5-5a94-b4fc-2c5a4d8696ee,ContainedIn,up,IfcSpace,8,IfcSpace-3XrBtx9eX7mQE6EqWHPfwn
03ebe639-17e5-5a94-b4fc-2c5a4d8696ee,Aggregates,down,IfcDistributionPort,InPort_448037,IfcDistributionPort-2NDAfd8XP5UxP23Ig3B8yn
03ebe639-17e5-5a94-b4fc-2c5a4d8696ee,Aggregates,down,IfcDistributionPort,OutPort_448037,IfcDistributionPort-1EiJjAW$fD3BVWjAXbvZSb
f2292b24-4b7f-5934-ba5a-a1dbd7726423,ContainedIn,up,IfcSpace,23,IfcSpace-2oBLA5YgD2FBMABn8wAmWE
f2292b24-4b7f-5934-ba5a-a1dbd7726423,Aggregates,down,IfcDistributionPort,OutPort_448219,IfcDistributionPort-1JkSdk5kf8ZAYfzL1mj6uP
f2292b24-4b7f-5934-ba5a-a1dbd7726423,Aggregates,down,IfcDistributionPort,OutPort_448219,IfcDistributionPort-1XzfUHlLXBF9B7EwLda9ET
f2292b24-4b7f-5934-ba5a-a1dbd7726423,Aggregates,down,IfcDistributionPort,OutPort_448219,IfcDistributionPort-01iej6wr52i93Yub3tw97Z
47ef2904-7842-5cfa-a23e-426d9fb6a5d4,ContainedIn,up,IfcSpace,92,IfcSpace-3XrBtx9eX7mQE6EqWHPfDW
47ef2904-7842-5cfa-a23e-426d9fb6a5d4,Aggregates,down,IfcDistributionPort,OutPort_453515,IfcDistributionPort-1iQG1mjXbAK8sxsFB6jHLZ
20ffb58d-1fb1-5ac4-8a3c-c3255ab8e016,ContainedIn,up,IfcSpace,93,IfcSpace-3XrBtx9eX7mQE6EqWHPfCP
20ffb58d-1fb1-5ac4-8a3c-c3255ab8e016,Aggregates,down,IfcDistributionPort,OutPort_453524,IfcDistributionPort-0jPTUvOnX79ghtKnLh0$V_
74c5f8a5-9878-57d2-abf2-0cb88fe8e8f2,ContainedIn,up,IfcSpace,94,IfcSpace-3XrBtx9eX7mQE6EqWHPfCs
